Emotion,author,Sentence
surprise,okiepeanut93,Got the news
surprise,HIM357,"2 days of this month left, and I only have 400MB left on my onpeak downloads."
surprise,Just_Cath,@Bern_morley where are you? In Bris? I can't hear any thunder
surprise,bekahjayne,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!"
surprise,shutitoff,I had a dream about a pretty pretty beach and there was no beach when I woke up
surprise,lilTanker,when da heck will the garage man get here I ask you.. WHEN..
surprise,chrisshennan,Why am I completing facebook quizzes at this time of the morning... especially a friday morning
surprise,FoOie,"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today"
surprise,dan11ela,@FoxxFiles aw u can't let me in on the secret!
surprise,MissxMarisa,"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like."
surprise,Fairywinds,is thinking so much and i'm at work
surprise,maddy_1212,my gap year is going so quick
surprise,johnnypurple,@qi_tah oh no.  *hugs*
surprise,savindotme,@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho
surprise,iamQuest,@heavenjones ur supposed to be in BK tho
surprise,Miiiiich,Oh no!  Nighty night.
surprise,courtneyyy3,@MandyAlwaysKnws nope.  they are all sleeping cuz they live on the east coast.
surprise,Ms_MaryJane,omg i didnt tweet all that much today.... *sadness*
surprise,inimeg,@CrazyBallerina Not really sleepy ...bored is the right word ... again not much work
surprise,FreeBleuDaVinci,@ModelTheany  tee we beefin....what was u supposed to do before leavin????
surprise,FeistyRedheadHB,Got home from work @ 9:45 and JUST finished cleaning. Now I need to eat dinner and don't know what I want!!  Ugh...oh well. Might not eat.
surprise,Quastbabynumbr5,Extremly deep
surprise,textdrivebys,@fiercebanana there's relisting fees when you don't complete a sale?  that sucks!
surprise,karinb_za,@astynes Me too.  Wonder if Mnet will show it...
surprise,viherrera,I cant use my blackberry today. This sucks.
surprise,mrscwuby,lol i cant drink!!
surprise,evangelinanana,"if bill compton has wii, why can't he have twitter?"
surprise,INKDMOM,@MyCakesRock  AAAAAAHHHHHHHH !!!!!  SOOOOOOOO SWEEEEEEET !!!!!!  I miss that age ..... SOOOO MUCH !
surprise,Caibear,Just saw a fox!  as i was getting on the freeway... I hope it goes home
surprise,wastemyself,recapping on britains got talent. britain seems more talented than america
surprise,r3dux,FINALLY...the internet is up. The server is down in Phoenix and it was fucked up.
surprise,stevencraig,Math quiz: If Meow =  but Allergies =   then Meow + Allergies = ?
surprise,CHWong,"@pastorpeterko Hey Peter, thanks for the follow. So many Sydney pastors tweet!!! Shame no Bris pastors are on Twitter; we're behind."
surprise,jeanneherawati,"aku kbangun gara2 mimpi @manyolitha, very bad dream"
surprise,sammy148,So wish the Carlton game was on live  stupid channel 7 lol.
surprise,air_nautique,Wow. That hurt way worse than i thought it would.
surprise,ramsey33,No churchill downs for me tomorrow
surprise,DJNoxpt,Bahh the police ended the party @ 5!!  Just when i was starting....
surprise,sami_bby,@Jordalynn omg you've never seen 'the Ring' its a creppy ass movie
surprise,Mel4Zac,mannnn..... @alllyy_ got an iphone!!! im jealous....
surprise,TeamEdward6,Josh just called me a big bucket of ugly  wish me luck for my audition tweets!
surprise,xmjox,@future_perfect I'm trying to self learn photoshop but it's not going so well!
surprise,XxMindyNicolexX,"@desdoulas Ya, the weather has been super weird here. It looked like it was gonna rain today but of course it didn't, darnitt,"
surprise,WillSpringfield,FUCK wasting deodorant... i aint goin no where... i aint havin company  let me funk it to ya!
surprise,MandyKitKat,OUCH! my earphones just shocked me
surprise,liangtfm,Bah I don't think @bing's FB fan page will get to 7500
surprise,n0tin,"It's fucking cold here north now! It was like 77 DF yesterday where I was, here it's 37,4"
surprise,ceggs,Dogs eyes seem bad. Just forked out on new washing machine so why not a vets bill to top it off eh?!?!
surprise,badtwin,"@movewithme lol ik they are, but i figure i've kept it for a year+ without needing virus software or to get it fixed  sigh"
surprise,Jazzy813,Where is my bestie when i need him @iAmcertiPHIed
surprise,ziggywas,Summer Glau to appear in Dollhouse next year http://tinyurl.com/mnrezc... I still can't believe they won't renew TSCC
surprise,dangergianni,@FriendlyFetus cause they changed man....
surprise,ItsTheNeeNee,"My Pandora is hitten hard, why can't real radio play great music like this"
surprise,nancyyeh,Where are all you Motivated/Determined/wannabe sexy successful young professionals!??! I might really have to join a BNI if there is no1!
surprise,sarahmars,@hudaaaa eeeeeeeeeeeeee i jealous sia i didnt get to seee
surprise,heyyitskate,arrrgh. i'm bored. so bored. there's nothing to do except slouch at the computer all day long.
surprise,DjDATZ,"@mandy2610 and @esko yea, just confirmed that this game indeed is already patched...  LOL guess you'll have to help me tomorrow ;)"
surprise,Hail_zzz,Gonna go watch Shorty Street &amp; then prison break marathon then bed maybe. Nobodies texting me!
surprise,sh00tingxstarr,"gonna dream about my prince charming tonight, n see if everything goes back to normal. I really hope so   &lt;3"
surprise,viintagedresses,wow i have no friends on twitter
surprise,Kikirowr,@Katarinea Oh wow  ouch...
surprise,rubyberrry,@ruthchu wat the! you were in riverside??
surprise,autumnmariegray,@sydthekid why are you sad?!
surprise,ejtormes,@niccoqp I miss going to EK every summer &amp; christmas vaca  Take me there!
surprise,c9xgmr,they shot him  he was still alive too...
surprise,onastysainto,@runhipporun just took the Terminator trilogy :-D but what I need is actually TV series and I still can't find anything tempting
surprise,djsteeley,"Oops, they don't open until 9am"
surprise,briBOFA,@valdivia1 what about me?
surprise,xZOSEPH,"NOOOOO! serena and darrian don't remember each other, and i've been waiting all day to see them confess their love"
surprise,KeyzFabLife,@bskeete87 THEN Y R U LEAVN???? STAY!?
surprise,purplepleather,"@destinyeyes i'm sorry! lol i have never had, like, actual time to spend there unfortunately. everything's always been INSANE when i go"
surprise,Homebrewed,"@Potato_Chip That's right! I totally forgot. Might not be till August, though    Have a great summer!!"
surprise,Lucie2k9,I was awake until 12:45am then my mum turned the internet off so i couldnt watch the @jonasbrothers live chat i was ccrying i was sad
surprise,ahalizev,???-?? ? youtube ? ????
surprise,AyoMillions,@mzstokes No twitpic?  lol
surprise,DRUMMERBOI9002,@DSTROYR @RockDaMullet awwww i have no internet right now....  -drummer boi
surprise,2leggedspider,"Bing! no its not Chandler Bing, its the new Search engine from Microsoft http://tinyurl.com/mgcotd ..but why the name Bing"
surprise,AADawson,aw got orthodontist today
surprise,carrrrla,my cheeeks hurt so bad. what happened!?
surprise,hello_nina,@kim_flores aww i don't! i guess that's why it doesnt  (blackberrymessenger)
surprise,stuherbert,looks like my ION-based mini-itx board won't ship until mid-June now at the earliest
surprise,duncan_tweet,Headache from last night has morphed in to a hangover  and now it's time to drive down the motorway... to Wolverhampton (WHY OH WHY?!)
surprise,unclekins,Fun game of 'Candamir' with the kids last night. Can't believe it's now our last day
surprise,gegengerade,Getting rather annoyed at my notebook. I know it's old and has got wrinkles but it's never been this slow before
surprise,MeLLo_T,@_C_A_S_ IM MAD IT WASNT SCAREY
surprise,AlyssaDiaz95,"@deezeen I know, pero available na yata eh. Sa Singapore, though!"
surprise,exortabreedoll,feeling so dizzy right now
surprise,kayte_girll,@ZDAEfron and @hudgensness why are u two fighting.
surprise,jelaniharris,"I thought that there was going to be another Def Jam Fighting game, but then it turned out to be crappy karaoke game. I miss the fighting"
surprise,eleusis7,@Maccah Red? wtf happened to dark blue + black stripes?
surprise,Buzzyboo,my stupid msn wont sign in
surprise,hockeyfan45214,Ship. I'm stuck.
surprise,joyangg,blast from the mofo'ing past. NTS why must you suck so badly at school?
surprise,tortoiseandkare,"wowza, only the second tweet of my entire trip and i leave in 3 days   but first - BLOW UP SF TOMORROW NIGHT!"
surprise,sailesh88,@serenetan Is it? Wah. Wasted trip!
surprise,prashant7aug,Lots of confusions I've at my work place..
surprise,shmerin,"I'm a genius  put rug in washing machine, left folding door half open, machine moved now door won't close or open. shaking head."
surprise,adamleedesign,@absolutelytrue  #nightshift I'm still working  luckily having fun with it. I can turn the music up when no one else is in the office. yay
surprise,kellygirl27,"@Emsy Yeah, mine said &quot;That's a nice picture&quot; &amp; gave me the red x!  Hope you get it working soon!"
surprise,RebeccaBillups,... A kidney stone. Really?? Ugh  http://tinyurl.com/qsw9vq
surprise,Royal_S_Ent,@jlynn242001 ur there when I'm not  lol
surprise,johannschwella,"@AmandaSevasti Ugh, frustrating. I see a few briefs a week with groups in them, mostly from traditional agencies."
surprise,RussellBfan90,@BrandyWandLover Oh I see who u mean now-tht heltershelter person lol. yer looks scary
surprise,ElaineGiles,"WTF? Advertising gone mad, they want access to my  camera and microphone? What for? Amazon should really know better  http://bit.ly/5FoKQ"
surprise,twebbstack,i hate it when a website says the ticket prices are on another website and their not
surprise,alicee_,alice doesn't know what to wear to the cinema  &lt;3
surprise,halina1979,I don't think I am going to get to see any of the sun today  gutted I NEED COLOUR!
surprise,ilovemytroops,wow i must have been tired. i fell asleep @ exactly the start of the 10pm news &amp; now up as if its 8am.
surprise,Baaheeyaah,OMG My sister got my brother a &quot;Jonas Brother&quot; look-a-like trenchcoat and I'm like JONAS STYLE and they told me to shutup no1 likes them
surprise,Sprungchic,I'm going to bed ....it's weird the 1st time in a long time.. He didn't call and say goodnight  ... Ima lil curious
surprise,jamvmusic,http://twitpic.com/665to Less than 24 hours till the show! Oh and Lee broke his guitar at practice    http://twitpic.com/660vv
surprise,burlybugger,So it's Friday... I have to keep reminding myself since every day seems the same
surprise,Sweet_salt,i want to go to singapore but my mother seems not
surprise,mimidang,Owww I'm aching alll over!!
surprise,richsarge,yay it's friday... hold on I have to work tomorrow
surprise,alliepawell,umm...why will it not let me change my background?! im twitter-challenged.
surprise,JohnnySaiz,@roninreckless dude you didn't even say bye
surprise,Fayanora,@paper_hand Oops! I completely forgot!
surprise,Applecored,@thatlass he was a very tallented man so its fitting wish I was closer to see it myself
surprise,stephenrawson,"Devastated,set alarm for 9.30,forgot to turn 7.30 alarm off got up at 7.30 and showered thinking it was 9.30,I am a full fool"
surprise,ilsmiles9,falling asleep and waking to gun shots arent fun
surprise,Miriam_met2xi,Back at work.....too much email in my inbox....
surprise,mimiedejesus,oh men..not in the mood  I'll go home tomorrow..wanna be w/ my family..its my birthday
surprise,igetthatalot,@TylerHarrell do you really smoke???
surprise,cleslie92,"Ok, ahhh! Last chance to go into school before chemistry exam!!"
surprise,OhDaffy,Sooo tired i cant believe its already dark outside i didnt even get to see the day
surprise,brookedanielle_,@dougiemcfly Aint the UK fans your fav people!?
surprise,Alma773,Is up and I can't go to sleep!
surprise,pyroezra,@bbyowls i cant afford it  go to school here ? !!
surprise,pythons,"@FannyAddams Aw you named your car, that's very sweet. I'm sorry to hear that Petey has to go, I hope you find a really posh rollerskate."
surprise,jeninacastillo,Oh my gosh! My hair is so short! I miss my long hair!
surprise,SarahMorrison,I almost say &quot;bless you&quot; to a sneezing cat
surprise,kwinexx,#3breakupwords you have changed
surprise,manda_was_taken,"@beautifulpyre GRR. we are only allowed gas grills where i live, it sucks."
surprise,Tosemy,what's wrong with people? Second break-in at Wallmans tonight
surprise,MashAnnable,@Phoebo oh poor you  atleast get paid for staying back or?
